Zfp516	zinc finger protein 516	MGI:MGI:2443957	C330029B10Rik|Zfp26l
Zbtb32	zinc finger and BTB domain containing 32	MGI:MGI:1891838	4930524C15Rik|PLZP|Rog|Tzfp
Aff3	AF4/FMR2 family, member 3	MGI:MGI:106927	3222402O04Rik|Laf4|LAF-4
Tmpo	thymopoietin	MGI:MGI:106920	5630400D24Rik|lamina-associated polypeptide 2|LAP2|TP
Hif1a	hypoxia inducible factor 1, alpha subunit	MGI:MGI:106918	bHLHe78|HIF1alpha|HIF-1alpha|MOP1
Dpy30	dpy-30, histone methyltransferase complex regulatory subunit	MGI:MGI:1913560	2810410M20Rik
Cep290	centrosomal protein 290	MGI:MGI:2384917	b2b1454Clo|b2b1752Clo|Kiaa|Nphp6
Csdc2	cold shock domain containing C2, RNA binding	MGI:MGI:2146027	
Ppp1r12a	protein phosphatase 1, regulatory (inhibitor) subunit 12A	MGI:MGI:1309528	1200015F06Rik|5730577I22Rik|D10Ertd625e|Mypt1
Aamdc	adipogenesis associated Mth938 domain containing	MGI:MGI:1913523	1810020D17Rik|1810037D19Rik
Nanog	Nanog homeobox	MGI:MGI:1919200	2410002E02Rik|ecat4|ENK
Suds3	suppressor of defective silencing 3 homolog (S. cerevisiae)	MGI:MGI:1919204	2400003N08Rik|2410008L21Rik
Eapp	E2F-associated phosphoprotein	MGI:MGI:1913516	1810011O16Rik
Pfdn5	prefoldin 5	MGI:MGI:1928753	1190001O17Rik|1700010A06Rik|c-myc binding protein MM-1|D15Ertd697e|EIG-1|MM-1
Kdm6b	KDM1 lysine (K)-specific demethylase 6B	MGI:MGI:2448492	Jmjd3
Sbno2	strawberry notch homolog 2 (Drosophila)	MGI:MGI:2448490	Stno
Taf13	TATA-box binding protein associated factor 13	MGI:MGI:1913500	1810004N01Rik|2010309N11Rik
Fancd2	Fanconi anemia, complementation group D2	MGI:MGI:2448480	2410150O07Rik
Zfp92	zinc finger protein 92	MGI:MGI:108094	
Hdac1	histone deacetylase 1	MGI:MGI:108086	HD1|MommeD5|RPD3
Smo	smoothened, frizzled class receptor	MGI:MGI:108075	E130215L21Rik
Traf6	TNF receptor-associated factor 6	MGI:MGI:108072	2310003F17Rik|C630032O20Rik
Zbed5	zinc finger, BED type containing 5	MGI:MGI:1919220	2410018M08Rik
Stag1	stromal antigen 1	MGI:MGI:1098658	SA-1|Scc3
Hist3h2a	histone cluster 3, H2a	MGI:MGI:2448458	
Nkx2-1	NK2 homeobox 1	MGI:MGI:108067	T/EBP|thyroid-specific enhancer-binding protein|thyroid transcription factor-1|tinman|Titf1|Ttf-1
Nfia	nuclear factor I/A	MGI:MGI:108056	1110047K16Rik|9430022M17Rik|NF1A|NF1-A
Neurod4	neurogenic differentiation 4	MGI:MGI:108055	Atoh3|bHLHa4|Math3|MATH-3
Bag1	BCL2-associated athanogene 1	MGI:MGI:108047	Rap46
Gcm1	glial cells missing homolog 1 (Drosophila)	MGI:MGI:108045	Gcm 1|Gcm1-rs1|Gcm a|GCMa|glial cell deficient|glide
Eif2a	eukaryotic translation initiation factor 2A	MGI:MGI:1098684	D3Ertd194e
Glrp1	glutamine repeat protein 1	MGI:MGI:108038	GRP-1
Tet1	tet methylcytosine dioxygenase 1	MGI:MGI:1098693	2510010B09Rik|BB001228|Cxxc6|D10Ertd17e
Cited1	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1	MGI:MGI:108023	Msg1
Pkn1	protein kinase N1	MGI:MGI:108022	F730027O18Rik|PAK1|Pkn|PRK1|Prkcl1|Stk3
Klf7	Kruppel-like factor 7 (ubiquitous)	MGI:MGI:1935151	9830124P08Rik
Rad21	RAD21 cohesin complex component	MGI:MGI:108016	SCC1
Nkx3-2	NK3 homeobox 2	MGI:MGI:108015	Bapx1|Nkx-3.2
Uncx	UNC homeobox	MGI:MGI:108013	Chx4|Uncx4.1
Arid1a	AT rich interactive domain 1A (SWI-like)	MGI:MGI:1935147	1110030E03Rik|BAF250a|Osa1|Smarcf1
Nobox	NOBOX oogenesis homeobox	MGI:MGI:108011	Og2x
Trim26	tripartite motif-containing 26	MGI:MGI:1337056	Zfp173
Myd88	myeloid differentiation primary response gene 88	MGI:MGI:108005	
Smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	MGI:MGI:1935129	4933427E24Rik|D030040M08Rik|D330027N15Rik|MommeD4|Snf2h
Smarca1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	MGI:MGI:1935127	5730494M04Rik|Snf2l
Eif4a3	eukaryotic translation initiation factor 4A3	MGI:MGI:1923731	2400003O03Rik|Ddx48
Nelfa	negative elongation factor complex member A, Whsc2	MGI:MGI:1346098	Nelf-A|Whsc2|Whsc2h
Uhrf1	ubiquitin-like, containing PHD and RING finger domains, 1	MGI:MGI:1338889	ICBP90|Np95
Brd4	bromodomain containing 4	MGI:MGI:1888520	HUNK1|MCAP|WI-11513
Lmx1a	LIM homeobox transcription factor 1 alpha	MGI:MGI:1888519	Lmx1.1|shaker short-tail
Fzd2	frizzled class receptor 2	MGI:MGI:1888513	Fz10|Mfz10|Mfz10a
Pin1	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1	MGI:MGI:1346036	0610025L01Rik|D9Bwg1161e
Mical2	microtubule associated monooxygenase, calponin and LIM domain containing 2	MGI:MGI:2444947	5330438E18Rik
Prmt7	protein arginine N-methyltransferase 7	MGI:MGI:2384879	4933402B05Rik
Cdc73	cell division cycle 73, Paf1/RNA polymerase II complex component	MGI:MGI:2384876	8430414L16Rik|C130030P16Rik|Hrpt2
Cdk5rap2	CDK5 regulatory subunit associated protein 2	MGI:MGI:2384875	2900018K03Rik|an
A430033K04Rik	RIKEN cDNA A430033K04 gene	MGI:MGI:3583896	
Prdm9	PR domain containing 9	MGI:MGI:2384854	Dsbc1|G1-419-29|Meisetz|Rcr1|repro7
Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	MGI:MGI:1309489	DXPri1|DXRib1|LIN-2|mLin-2|Pals3
Carhsp1	calcium regulated heat stable protein 1	MGI:MGI:1196368	1200011K09Rik|D16Ertd465e
Taf11	TATA-box binding protein associated factor 11	MGI:MGI:1916026	1110038O14Rik|28kDa|PRO214|TAF2I|TAFII28
Foxf2	forkhead box F2	MGI:MGI:1347479	Fkh20|FREAC2|LUN
Foxa3	forkhead box A3	MGI:MGI:1347477	Hnf3g|Hnf-3g|Tcf3g|Tcf-3g
Foxa2	forkhead box A2	MGI:MGI:1347476	Hnf3b|Hnf-3b|HNF3beta|HNF3-beta|Tcf3b|Tcf-3b
Foxj1	forkhead box J1	MGI:MGI:1347474	FKHL-13|Hfh4|HFH-4
Foxa1	forkhead box A1	MGI:MGI:1347472	Hnf3a|Hnf-3a|Tcf3a|Tcf-3a
Foxd2	forkhead box D2	MGI:MGI:1347471	Mf2
Foxf1	forkhead box F1	MGI:MGI:1347470	Foxf1a|Freac-1|FREAC1|Hfh8|HFH-8
Hoxd9	homeobox D9	MGI:MGI:96210	Hox-4.4|Hox-5.2
Ube2o	ubiquitin-conjugating enzyme E2O	MGI:MGI:2444266	B230113M03Rik
Foxl1	forkhead box L1	MGI:MGI:1347469	fkh6|fkh-6|FREAC7
Foxb2	forkhead box B2	MGI:MGI:1347468	Fkh4
Foxd4	forkhead box D4	MGI:MGI:1347467	Fkh2|FREAC5
Foxc1	forkhead box C1	MGI:MGI:1347466	fkh1|fkh-1|FREAC3|frkhda|Mf1|Mf4
Foxh1	forkhead box H1	MGI:MGI:1347465	Fast2
Foxg1	forkhead box G1	MGI:MGI:1347464	2900064B05Rik|Bf1|BF-1|Hfh9|Hfhbf1
Foxd1	forkhead box D1	MGI:MGI:1347463	BF-2|FREAC4|Hfh10|Hfhbf2
Hoxd13	homeobox D13	MGI:MGI:96205	Hox-4.8|spdh
Hoxd12	homeobox D12	MGI:MGI:96204	Hox-4.7|Hox-5.6
Hoxd11	homeobox D11	MGI:MGI:96203	E230017H14Rik|Hox-4.6|Hox-5.4|Hox-5.5
Hoxd10	homeobox D10	MGI:MGI:96202	Hox-4.5|Hox-5.3
Hoxd1	homeobox D1	MGI:MGI:96201	Hox-4.9
Atxn7	ataxin 7	MGI:MGI:2179277	A430107N12Rik|ataxin-7|Sca7
Brms1l	breast cancer metastasis-suppressor 1-like	MGI:MGI:1196337	0710008O11Rik|BRMS1|D12Ertd407e
Hyal2	hyaluronoglucosaminidase 2	MGI:MGI:1196334	
Map3k13	mitogen-activated protein kinase kinase kinase 13	MGI:MGI:2444243	C130026N12Rik
Suz12	suppressor of zeste 12 homolog (Drosophila)	MGI:MGI:1261758	2610028O16Rik|D11Ertd530e
Nr1d1	nuclear receptor subfamily 1, group D, member 1	MGI:MGI:2444210	A530070C09Rik|rev-erbA(alpha)|REV-ERBalpha
Zfp764	zinc finger protein 764	MGI:MGI:2443580	8030466O12Rik
Thap11	THAP domain containing 11	MGI:MGI:1930964	2810036E22Rik|CTG-B45d|Ronin
Camta2	calmodulin binding transcription activator 2	MGI:MGI:2135957	Kiaa0909-hp
Bend5	BEN domain containing 5	MGI:MGI:1914871	2310026E23Rik
Kat7	K(lysine) acetyltransferase 7	MGI:MGI:2182799	Hbo1|Hboa|Myst2
Ice2	interactor of little elongation complex ELL subunit 2	MGI:MGI:2135947	B230343B06Rik|Narg2
Snapc2	small nuclear RNA activating complex, polypeptide 2	MGI:MGI:1914861	0610007H10Rik
Ern1	endoplasmic reticulum (ER) to nucleus signalling 1	MGI:MGI:1930134	9030414B18Rik|Ire1a|Ire1alpha|Ire1p
Rnf41	ring finger protein 41	MGI:MGI:1914838	2210404G21Rik|4930511A05Rik|4933415P08Rik|D10Ertd722e|FLRF|Nrdp1
Pml	promyelocytic leukemia	MGI:MGI:104662	1200009E24Rik|Trim19
Med12	mediator complex subunit 12	MGI:MGI:1926212	Mopa|OPA-1|Tnrc11|Trap230
Tlx2	T cell leukemia, homeobox 2	MGI:MGI:1350935	Enx|Hox11l1|Hox11L.1|NCX|Ncx1|Tlx1l1
H2afx	H2A histone family, member X	MGI:MGI:102688	gammaH2ax|H2ax|H2A.X|Hist5-2ax
Smarcal1	SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	MGI:MGI:1859183	6030401P21Rik|Mharp
Narfl	nuclear prelamin A recognition factor-like	MGI:MGI:1914813	9030612I22Rik
Etv3	ets variant 3	MGI:MGI:1350926	ETS-domain transcriptional repressor|METS|Pe1
Irf5	interferon regulatory factor 5	MGI:MGI:1350924	mirf5
Crym	crystallin, mu	MGI:MGI:102675	
Lhx3	LIM homeobox protein 3	MGI:MGI:102673	Lim3|mLim-3|P-LIM
Runx3	runt related transcription factor 3	MGI:MGI:102672	AML2|Cbfa3
Irf3	interferon regulatory factor 3	MGI:MGI:1859179	C920001K05Rik|IRF-3
Pdcd7	programmed cell death 7	MGI:MGI:1859170	ES18
Rnf10	ring finger protein 10	MGI:MGI:1859162	
Nfkb2	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100	MGI:MGI:1099800	NF kappaB2|p52
Cebpz	CCAAT/enhancer binding protein zeta	MGI:MGI:109386	Cbf|CBF2|Cebpa-rs1
Atf3	activating transcription factor 3	MGI:MGI:109384	LRG-21
Batf	basic leucine zipper transcription factor, ATF-like	MGI:MGI:1859147	B-ATF|SFA-2
Hp1bp3	heterochromatin protein 1, binding protein 3	MGI:MGI:109369	Hp1bp74
Lmo4	LIM domain only 4	MGI:MGI:109360	A730077C12Rik|Crp3|Etohi4
Nfkbie	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon	MGI:MGI:1194908	
Atf2	activating transcription factor 2	MGI:MGI:109349	ATF-2|Creb2|CRE-BP|D130078H02Rik|mXBP
Lum	lumican	MGI:MGI:109347	Ldc|SLRR2D
Eya1	EYA transcriptional coactivator and phosphatase 1	MGI:MGI:109344	bor
Eya2	EYA transcriptional coactivator and phosphatase 2	MGI:MGI:109341	
Pitx2	paired-like homeodomain transcription factor 2	MGI:MGI:109340	Brx1|Brx1a|Brx1b|Munc30|Otlx2|Pitx2a|Pitx2b|Pitx2c|Ptx2|Rieg|solurshin
Rbbp4	retinoblastoma binding protein 4	MGI:MGI:1194912	CAF-1 p48 subunit|RBAP48
Eya3	EYA transcriptional coactivator and phosphatase 3	MGI:MGI:109339	
Brca2	breast cancer 2, early onset	MGI:MGI:109337	Fancd1|RAB163
Etv6	ets variant 6	MGI:MGI:109336	Tel|translocation-ets-leukemia
Hoxc9	homeobox C9	MGI:MGI:96199	Hox-3.2
Hoxc8	homeobox C8	MGI:MGI:96198	D130011F21Rik|Hox-3.1
Hoxc6	homeobox C6	MGI:MGI:96197	Hox-3.3|Hox-6.1
Hoxc5	homeobox C5	MGI:MGI:96196	Hox-3.4|Hox-6.2
Hoxc4	homeobox C4	MGI:MGI:96195	Hox-3.5
Hoxc12	homeobox C12	MGI:MGI:96194	Hox-3.8
Hoxc10	homeobox C10	MGI:MGI:96192	Hox-3.6
Hoxb9	homeobox B9	MGI:MGI:96190	Hox-2.5
Fev	FEV (ETS oncogene family)	MGI:MGI:2449712	mPet-1|Pet1
Fadd	Fas (TNFRSF6)-associated via death domain	MGI:MGI:109324	Mort1/FADD
Hoxb7	homeobox B7	MGI:MGI:96188	Hox-2.3
Hoxb6	homeobox B6	MGI:MGI:96187	Hox-2.2
Hoxb5	homeobox B5	MGI:MGI:96186	Hox-2.1
Hoxb4	homeobox B4	MGI:MGI:96185	Hox-2.6
Hoxb3	homeobox B3	MGI:MGI:96184	Hox-2.7
Hoxb2	homeobox B2	MGI:MGI:96183	Hox-2.8|Hoxbes2
Hoxb1	homeobox B1	MGI:MGI:96182	Hox-2.9
Hoxa9	homeobox A9	MGI:MGI:96180	D6a9|Hox-1.7
Eya4	EYA transcriptional coactivator and phosphatase 4	MGI:MGI:1337104	B130023L16Rik
Hoxa7	homeobox A7	MGI:MGI:96179	Hox-1.1
Hoxa6	homeobox A6	MGI:MGI:96178	Hox-1.2
Dppa4	developmental pluripotency associated 4	MGI:MGI:2157525	2410091M23Rik|ECAT15-1
Hoxa4	homeobox A4	MGI:MGI:96176	Hox-1.4
Dppa2	developmental pluripotency associated 2	MGI:MGI:2157523	2410088E07Rik|ECAT15-2
Hoxa11	homeobox A11	MGI:MGI:96172	Hox-1.9|Hoxa-11
Hoxa10	homeobox A10	MGI:MGI:96171	Hox-1.8|Hoxa-10
Hoxa1	homeobox A1	MGI:MGI:96170	early retinoic acid|ERA1|Hox-1.6
Hmox1	heme oxygenase 1	MGI:MGI:96163	D8Wsu38e|heme oxygenase 1|Hmox|HO1|HO-1|Hsp32
Hmga1	high mobility group AT-hook 1	MGI:MGI:96160	Hmga1a|Hmga1b|Hmgi|Hmgiy|HMG-I(Y)|HMGI(Y)|HMGY
Hmgb2	high mobility group box 2	MGI:MGI:96157	Hmg2|HMG-2
Fubp1	far upstream element (FUSE) binding protein 1	MGI:MGI:1196294	9530027K12Rik|FBP|Fubp|Fubp4
Pknox2	Pbx/knotted 1 homeobox 2	MGI:MGI:2445415	D230005H23Rik|Prep2
Bhlha9	basic helix-loop-helix family, member a9	MGI:MGI:2444198	A830053O21Rik|Fingerin
Hmgn2	high mobility group nucleosomal binding domain 2	MGI:MGI:96136	Hmg17|HMG-17
Hmgn1	high mobility group nucleosomal binding domain 1	MGI:MGI:96120	Hmg14|HMG-14
Hmgb1	high mobility group box 1	MGI:MGI:96113	amphoterin|DEF|Hmg1|HMG-1|p30|SBP-1
Kdm1a	lysine (K)-specific demethylase 1A	MGI:MGI:1196256	1810043O07Rik|Aof2|Kdm1|LSD1
Casz1	castor zinc finger 1	MGI:MGI:1196251	2410019P08Rik|castor|Cst|D4Ertd432e
Mtf2	metal response element binding transcription factor 2	MGI:MGI:105050	9230112N11Rik|C76717|M96|Pcl2
Hlx	H2.0-like homeobox	MGI:MGI:96109	Hlx1
Hlf	hepatic leukemia factor	MGI:MGI:96108	E230015K02Rik
Sufu	suppressor of fused homolog (Drosophila)	MGI:MGI:1345643	2810026F04Rik|b2b273Clo|Su(Fu)
Cul3	cullin 3	MGI:MGI:1347360	
Hivep1	human immunodeficiency virus type I enhancer binding protein 1	MGI:MGI:96100	alphaA-CRYBP1|Cryabp1
Mn1	meningioma 1	MGI:MGI:1261813	
Pou6f2	POU domain, class 6, transcription factor 2	MGI:MGI:2443631	D130006K24Rik|RPF-1
Cdk8	cyclin-dependent kinase 8	MGI:MGI:1196224	
Rreb1	ras responsive element binding protein 1	MGI:MGI:2443664	1110037N09Rik|B930013M22Rik
Gm6026	predicted gene 6026	MGI:MGI:3779546	
Ylpm1	YLP motif containing 1	MGI:MGI:1926195	A930013E17Rik|ZAP|Zap3
Tnip1	TNFAIP3 interacting protein 1	MGI:MGI:1926194	A20-binding inhibitor of NF-kappa B activation|ABIN1|Nef|VAN
Gm4924	predicted gene 4924	MGI:MGI:3643133	mIF1
Fam120b	family with sequence similarity 120, member B	MGI:MGI:1914794	4932442K08Rik|CCPG
Sp2	Sp2 transcription factor	MGI:MGI:1926162	
Atf6	activating transcription factor 6	MGI:MGI:1926157	9130025P16Rik|Atf6alpha|ESTM49
Cnot10	CCR4-NOT transcription complex, subunit 10	MGI:MGI:1926143	2600001P13Rik
Ccar1	cell division cycle and apoptosis regulator 1	MGI:MGI:1914750	2610511G16Rik|9430036H15Rik|Carp1
Dvl1	dishevelled segment polarity protein 1	MGI:MGI:94941	
Zbtb6	zinc finger and BTB domain containing 6	MGI:MGI:2442998	A830092L04Rik|Zfp482
Rbbp8	retinoblastoma binding protein 8	MGI:MGI:2442995	9930104E21Rik|CtIP
Ufl1	UFM1 specific ligase 1	MGI:MGI:1914740	1810074P20Rik|Maxer|Rcad
Calcoco1	calcium binding and coiled coil domain 1	MGI:MGI:1914738	1810009B06Rik|CoCoA|Gcap11
Polr3g	polymerase (RNA) III (DNA directed) polypeptide G	MGI:MGI:1914736	2310047G20Rik|RPC32
Drd3	dopamine receptor D3	MGI:MGI:94925	D3R|D3 receptor
Drd2	dopamine receptor D2	MGI:MGI:94924	D2R|D2 receptor|Drd-2
Wtip	WT1-interacting protein	MGI:MGI:2141920	
Zfp575	zinc finger protein 575	MGI:MGI:2141921	
Dnmt1	DNA methyltransferase (cytosine-5) 1	MGI:MGI:94912	Cxxc9|Dnmt1o|MommeD2|MTase
Irx5	Iroquois related homeobox 5 (Drosophila)	MGI:MGI:1859086	
Dmd	dystrophin, muscular dystrophy	MGI:MGI:94909	Dp427|Dp71|Duchenne muscular dystrophy|dys|mdx|pke|X-linked muscular dystrophy
Dlx4	distal-less homeobox 4	MGI:MGI:94904	DII D|Dlx-4|Dlx7
Dlx3	distal-less homeobox 3	MGI:MGI:94903	Dlx-3
Dlx2	distal-less homeobox 2	MGI:MGI:94902	DII A|Dlx-2|Tes-1
Dlx1	distal-less homeobox 1	MGI:MGI:94901	DII B|Dlx|Dlx-1
Pou2f3	POU domain, class 2, transcription factor 3	MGI:MGI:102565	Epoc-1|Oct11|Oct-11a|Otf11|Otf-11|Skin|Skin-1a|Skn-1a|Skn-li
Pou3f3	POU domain, class 3, transcription factor 3	MGI:MGI:102564	Brn1|Brn-1|Otf8
Myt1	myelin transcription factor 1	MGI:MGI:1100535	Nzf2|NZF-2a|NZF-2b|Nztf2
Zfp668	zinc finger protein 668	MGI:MGI:2442943	E130018B19Rik
Tbx4	T-box 4	MGI:MGI:102556	
Nr2e1	nuclear receptor subfamily 2, group E, member 1	MGI:MGI:1100526	Mtll|tailless|Tlx
Gm5595	predicted gene 5595	MGI:MGI:3648690	
Trim24	tripartite motif-containing 24	MGI:MGI:109275	A130082H20Rik|D430004I05Rik|Tif1a|TIF1alpha
Trim28	tripartite motif-containing 28	MGI:MGI:109274	KAP-1|KRIP-1|MommeD9|Tif1b
Tbx5	T-box 5	MGI:MGI:102541	
Zhx1	zinc fingers and homeoboxes 1	MGI:MGI:109271	
Smad7	SMAD family member 7	MGI:MGI:1100518	Madh7
Dr1	down-regulator of transcription 1	MGI:MGI:1100515	1700121L09Rik|Dr1l|NC2|NC2beta
Pnn	pinin	MGI:MGI:1100514	D12Ertd512e
Lmx1b	LIM homeobox transcription factor 1 beta	MGI:MGI:1100513	GENA 191|Icst|LMX1.2
Myt1l	myelin transcription factor 1-like	MGI:MGI:1100511	2900046C06Rik|2900093J19Rik|C630034G21Rik|Nztf1|Pmng1|Png-1
Tbx6	T-box 6	MGI:MGI:102539	
Nr1i2	nuclear receptor subfamily 1, group I, member 2	MGI:MGI:1337040	mPXR|Pregnane X receptor|PXR|PXR.1|PXR.2|SXR
Ppp1r8	protein phosphatase 1, regulatory (inhibitor) subunit 8	MGI:MGI:2140494	6330548N22Rik|NIPP1
Zfp341	zinc finger protein 341	MGI:MGI:2682937	
Gm5132	predicted gene 5132	MGI:MGI:3643069	
Gm5141	predicted gene 5141	MGI:MGI:3779466	
Naa15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	MGI:MGI:1922088	5730450D16Rik|ASTBDN|mNAT1|Narg1|Tbdn-1|tubedown
Bptf	bromodomain PHD finger transcription factor	MGI:MGI:2444008	9430093H17Rik|Falz
Zfp623	zinc finger protein 623	MGI:MGI:1926084	2610029D06Rik
Tsc22d4	TSC22 domain family, member 4	MGI:MGI:1926079	0610009M14Rik|1700023B23Rik|Thg-1pit
Zfp536	zinc finger protein 536	MGI:MGI:1926102	9630010P11Rik
Pcbd1	pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 1	MGI:MGI:94873	Dcoh|Pcbd
Dcn	decorin	MGI:MGI:94872	DC|SLRR1B
Dbx1	developing brain homeobox 1	MGI:MGI:94867	Dbx|Mmox C
Dbp	D site albumin promoter binding protein	MGI:MGI:94866	
Kdm4d	lysine (K)-specific demethylase 4D	MGI:MGI:3606484	Jmjd2d
Zfp784	zinc finger protein 784	MGI:MGI:3606042	C730049F21Rik
Pitx3	paired-like homeodomain transcription factor 3	MGI:MGI:1100498	Ptx3
Ercc6	excision repair cross-complementing rodent repair deficiency, complementation group 6	MGI:MGI:1100494	C130058G22Rik|CSB|CS group B correcting gene
Med17	mediator complex subunit 17	MGI:MGI:2182585	C330002H14Rik|Crsp6|Trap80
Trps1	trichorhinophalangeal syndrome I (human)	MGI:MGI:1927616	D15Ertd586e
Bnc1	basonuclin 1	MGI:MGI:1097164	
Hnrnpab	heterogeneous nuclear ribonucleoprotein A/B	MGI:MGI:1330294	CBF-A|Cgbfa|Hnrpab
Brpf1	bromodomain and PHD finger containing, 1	MGI:MGI:1926033	4833438B11Rik|4930540D11Rik
Ovol1	ovo like zinc finger 1	MGI:MGI:1330290	movo1|Ovo1
Neo1	neogenin	MGI:MGI:1097159	2610028H22Rik|D930014N22Rik|Igdcc2
Brd3	bromodomain containing 3	MGI:MGI:1914632	2410084F24Rik|Fsrg2|ORFX|RINGL3
Med4	mediator complex subunit 4	MGI:MGI:1914631	2410046H15Rik|DRIP36|HSPC126|p36 TRAP/SMCC/PC2 subunit|TRAP36|Vdrip
Cops2	COP9 signalosome subunit 2	MGI:MGI:1330276	alien homologue|alien-like|Csn2|Sgn2|Trip15
Dedd2	death effector domain-containing DNA binding protein 2	MGI:MGI:1914629	2410050E11Rik|FLAME-3
Gm14139	predicted gene 14139	MGI:MGI:3836251	
Wdr75	WD repeat domain 75	MGI:MGI:1920924	1300003A18Rik|2410118I19Rik
Grhl2	grainyhead-like 2 (Drosophila)	MGI:MGI:2182543	0610015A08Rik|BOM|clft3|grainyheadlike|Tcfcp2l3
Grhl1	grainyhead-like 1 (Drosophila)	MGI:MGI:2182540	LBP-32|p61 MGR|p70 MGR|Tcfcp2l2
Asxl1	additional sex combs like 1	MGI:MGI:2684063	
Eda2r	ectodysplasin A2 receptor	MGI:MGI:2442860	9430060M22Rik|Xedar
Zbtb8a	zinc finger and BTB domain containing 8a	MGI:MGI:1920930	2410081M15Rik
Zfp39	zinc finger protein 39	MGI:MGI:99183	CTfin33|Zfp-39
Ddx58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	MGI:MGI:2442858	6430573D20Rik|RIG-I
Tbpl2	TATA box binding protein like 2	MGI:MGI:2684058	LOC227606|Trf3
Sirt2	sirtuin 2	MGI:MGI:1927664	5730427M03Rik|Sir2l|SIR2L2
Nfatc2	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2	MGI:MGI:102463	NFAT1|NFAT1-D|NFATp
Hfe	hemochromatosis	MGI:MGI:109191	MR2
Ppargc1b	peroxisome proliferative activated receptor, gamma, coactivator 1 beta	MGI:MGI:2444934	4631412G21Rik|PGC-1beta/ERRL1
Zfp831	zinc finger protein 831	MGI:MGI:3641861	ENSMUSG00000050600|OTTMUSG00000017459
Brip1	BRCA1 interacting protein C-terminal helicase 1	MGI:MGI:2442836	3110009N10Rik|8030460J03Rik|BACH1
Dab2	disabled 2, mitogen-responsive phosphoprotein	MGI:MGI:109175	5730435J12Rik|D15Wsu122e|D630005B22Rik|p96
Rbbp7	retinoblastoma binding protein 7	MGI:MGI:1194910	
Zfp51	zinc finger protein 51	MGI:MGI:99198	zfec12|Zfp-51
Pydc3	pyrin domain containing 3	MGI:MGI:2442822	E430029J22Rik
Epas1	endothelial PAS domain protein 1	MGI:MGI:109169	bHLHe73|HIF2A|HIF-2alpha|Hif like protein|HLF|HRF|hypoxia inducible transcription factor 2alpha|MOP2
Mnx1	motor neuron and pancreas homeobox 1	MGI:MGI:109160	HB9|Hlxb9|MNR2
Tshz3	teashirt zinc finger family member 3	MGI:MGI:2442819	A630038G13Rik|teashirt3|Tsh3|Zfp537
Gm4723	predicted gene 4723	MGI:MGI:3782903	
Isl2	insulin related protein 2 (islet 2)	MGI:MGI:109156	3110001N10Rik|islet 2|islet-2
Mnt	max binding protein	MGI:MGI:109150	bHLHd3|Rox
Cby1	chibby homolog 1 (Drosophila)	MGI:MGI:1920989	1110014P06Rik|arb1|Pgea1|PGEA14
Tfap2d	transcription factor AP-2, delta	MGI:MGI:2153466	Tcfap2d
Prdm8	PR domain containing 8	MGI:MGI:1924880	
Vps36	vacuolar protein sorting 36	MGI:MGI:1917410	1700010A24Rik|2210415M20Rik|2810408E15Rik|Eap45
Efcab6	EF-hand calcium binding domain 6	MGI:MGI:1924877	4931407K02Rik|4932408N08Rik
Prkaa1	protein kinase, AMP-activated, alpha 1 catalytic subunit	MGI:MGI:2145955	AMPKalpha1|C130083N04Rik
Taf6	TATA-box binding protein associated factor 6	MGI:MGI:109129	80kDa|p80|Taf2e
Hnf4a	hepatic nuclear factor 4, alpha	MGI:MGI:109128	Hnf4|HNF-4|HNF4 alpha|MODY1|Nr2a1|Nuclear receptor 2A1|Tcf14|Tcf4
Tsc22d1	TSC22 domain family, member 1	MGI:MGI:109127	Egr5|Tgfb1i4|TSC-22
Thrsp	thyroid hormone responsive	MGI:MGI:109126	S14|Spot 14
H2afv	H2A histone family, member V	MGI:MGI:1924855	C530002L11Rik
Six4	sine oculis-related homeobox 4	MGI:MGI:106034	AREC3|TrexBF
Smarcc2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	MGI:MGI:1915344	5930405J04Rik
Med23	mediator complex subunit 23	MGI:MGI:1917458	3000002A17Rik|Crsp3|ESTM7|Sur2|X83317
Psmc1	protease (prosome, macropain) 26S subunit, ATPase 1	MGI:MGI:106054	P26s4|rpt2|Rpt2/S4|S4
Bcl9	B cell CLL/lymphoma 9	MGI:MGI:1924828	2610202E01Rik|8030475K17Rik|A330041G23Rik
Kmt2e	lysine (K)-specific methyltransferase 2E	MGI:MGI:1924825	1810033J14Rik|9530077A04Rik|D230038D11Rik|Mll5
